Sell,JNJ,42,18.99,2018,4,14
Buy,GE,46,80.88,2017,5,2
Buy,INTC,26,79.95,2016,8,12
Buy,DD,24,84.52,2018,12,1
Sell,GS,20,86.16,2018,2,23
Sell,TRV,48,54.36,2014,2,4
Sell,UTX,40,97.25,2018,6,8
Buy,GS,34,69.93,2016,8,19
Buy,NKE,43,89.86,2018,7,18
Buy,XYZ,50,27.84,2016,12,3
Sell,GS,34,13.51,2014,8,2
Buy,KO,34,97.51,2018,7,2
Sell,PG,49,11.29,2016,3,27
Buy,DIS,33,52.48,2015,4,18
Buy,MRK,38,48.35,2014,6,27
Sell,DIS,21,47.35,2018,3,12
Sell,UNH,10,80.96,2014,1,24
Buy,PG,34,69.16,2018,1,22
Buy,MMM,45,75.07,2015,7,3
Buy,MSFT,46,100.39,2017,5,9
Buy,MSFT,42,79.66,2018,10,18
Buy,XYZ,31,11.07,2017,10,2
Buy,PFE,29,54.37,2018,5,4
Buy,DD,12,92.59,2018,7,9
Buy,HD,35,65.64,2016,4,14
Sell,T,48,20.86,2017,2,9
Sell,XOM,15,70.42,2015,6,27
Buy,MCD,34,3.32,2018,9,2
Buy,DD,22,53.83,2018,12,16
Sell,GE,41,65.41,2014,3,2
Sell,MMM,16,78.08,2018,2,21
Buy,DD,40,67.72,2016,9,16
Buy,TRV,19,35.16,2018,6,21
Buy,PG,39,37.30,2014,6,15
Buy,DIS,45,43.07,2016,7,23
Sell,GS,41,27.89,2015,7,19
Buy,INTC,31,43.82,2016,2,24
Buy,UTX,43,39.52,2016,1,19
Buy,JPM,27,64.95,2016,9,13
Sell,TRV,50,5.70,2014,12,10
Buy,XOM,44,73.10,2018,3,28
Sell,XYZ,49,58.71,2018,7,5
Sell,INTC,22,69.51,2014,7,16
Sell,DIS,10,73.25,2016,6,10
Buy,XOM,22,8.42,2017,5,13
Buy,JPM,50,52.65,2018,3,24
Sell,XOM,14,46.08,2016,7,28
Buy,NKE,37,5.01,2017,10,21
Buy,WMT,35,29.41,2015,9,17
Buy,T,32,30.85,2014,5,26
Buy,INTC,38,94.36,2015,3,3
Buy,GS,26,95.41,2015,2,2
Buy,GE,37,96.81,2015,2,21
Sell,INTC,46,66.55,2018,4,27
Buy,PG,50,71.53,2018,9,3
Buy,MSFT,34,40.13,2014,5,14
Sell,IBM,13,59.62,2017,8,7
Sell,PG,27,95.54,2014,10,3
Buy,JNJ,12,34.71,2015,9,4
Sell,INTC,30,60.87,2014,11,14
Sell,UNH,22,75.69,2014,9,28
Sell,JPM,42,3.59,2014,9,25
Buy,TRV,47,86.50,2016,7,2
Sell,XOM,41,6.96,2017,3,2
Buy,DD,20,76.11,2015,8,26
Sell,DD,24,41.28,2014,11,15
Sell,T,50,56.64,2016,10,7
Sell,DIS,13,99.53,2014,9,4
Sell,UTX,18,47.51,2016,11,3
Buy,DIS,12,82.45,2018,6,28
Buy,NKE,16,53.38,2016,7,24
Sell,GS,49,19.30,2014,9,7
Buy,IBM,43,85.18,2015,8,10
Sell,V,29,64.68,2014,5,9
Buy,HD,43,5.78,2017,5,14
Buy,T,38,96.51,2018,5,26
Sell,IBM,12,67.86,2014,4,19
Buy,DD,27,63.86,2015,9,13
Sell,GE,41,85.31,2016,8,16
Sell,TRV,23,48.29,2017,8,8
Sell,VZ,36,26.36,2015,7,16
Sell,NKE,45,23.24,2014,1,19
Buy,UNH,11,99.09,2017,9,15
Sell,V,39,38.66,2017,6,22
Buy,PFE,34,22.51,2014,6,26
Buy,UTX,45,24.79,2015,4,9
Sell,XOM,36,19.81,2018,5,12
Buy,GE,40,57.94,2014,1,19
Buy,IBM,45,5.05,2015,6,5
Sell,GE,12,24.58,2014,3,1
Buy,GS,50,64.80,2017,7,16
Sell,NKE,27,70.66,2016,1,20
Sell,XOM,31,86.00,2018,5,22
Buy,MCD,37,40.62,2016,1,12
Sell,T,27,24.06,2017,6,23
Sell,INTC,19,99.20,2015,9,12
Sell,PFE,40,62.68,2017,6,15
Buy,JNJ,15,24.34,2017,7,3
Sell,DIS,16,25.84,2014,2,15
Sell,INTC,35,93.52,2016,12,21
Sell,GE,40,86.61,2015,10,5
Sell,DIS,42,39.80,2014,12,4
Sell,GS,30,18.83,2016,5,8
Buy,MMM,43,5.38,2014,6,1
Sell,V,15,92.57,2018,9,11
Buy,GS,13,45.99,2015,3,7
Sell,NKE,41,21.92,2018,6,20
Buy,XYZ,21,67.89,2015,6,14
Buy,VZ,40,49.46,2015,12,1
Sell,INTC,33,38.96,2016,3,27
Sell,UTX,42,14.23,2018,2,9
Sell,NKE,34,93.02,2018,11,9
